NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,,,...,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,197912,dezembro 1979
1,Brasil,,,...,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198001,janeiro 1980
1,Brasil,,,...,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198002,fevereiro 1980
1,Brasil,2,%,18.27,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198003,março 1980
1,Brasil,2,%,16.80,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198004,abril 1980
1,Brasil,2,%,18.01,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198005,maio 1980
1,Brasil,2,%,17.19,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198006,junho 1980
1,Brasil,2,%,17.48,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198007,julho 1980
1,Brasil,2,%,16.64,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198008,agosto 1980
1,Brasil,2,%,15.45,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198009,setembro 1980
1,Brasil,2,%,19.76,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198010,outubro 1980
1,Brasil,2,%,21.73,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198011,novembro 1980
1,Brasil,2,%,24.51,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198012,dezembro 1980
1,Brasil,2,%,21.51,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198101,janeiro 1981
1,Brasil,2,%,21.19,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198102,fevereiro 1981
1,Brasil,2,%,19.33,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198103,março 1981
1,Brasil,2,%,18.91,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198104,abril 1981
1,Brasil,2,%,17.97,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198105,maio 1981
1,Brasil,2,%,18.58,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198106,junho 1981
1,Brasil,2,%,18.35,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198107,julho 1981
1,Brasil,2,%,18.28,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198108,agosto 1981
1,Brasil,2,%,17.99,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198109,setembro 1981
1,Brasil,2,%,16.68,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198110,outubro 1981
1,Brasil,2,%,16.43,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198111,novembro 1981
1,Brasil,2,%,17.17,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198112,dezembro 1981
1,Brasil,2,%,19.28,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198201,janeiro 1982
1,Brasil,2,%,20.82,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198202,fevereiro 1982
1,Brasil,2,%,20.58,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198203,março 1982
1,Brasil,2,%,19.37,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198204,abril 1982
1,Brasil,2,%,19.39,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198205,maio 1982
1,Brasil,2,%,20.96,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198206,junho 1982
1,Brasil,2,%,21.50,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198207,julho 1982
1,Brasil,2,%,20.72,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198208,agosto 1982
1,Brasil,2,%,18.44,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198209,setembro 1982
1,Brasil,2,%,16.30,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198210,outubro 1982
1,Brasil,2,%,15.55,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198211,novembro 1982
1,Brasil,2,%,18.55,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198212,dezembro 1982
1,Brasil,2,%,23.32,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198301,janeiro 1983
1,Brasil,2,%,26.33,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198302,fevereiro 1983
1,Brasil,2,%,25.78,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198303,março 1983
1,Brasil,2,%,23.40,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198304,abril 1983
1,Brasil,2,%,21.82,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198305,maio 1983
1,Brasil,2,%,24.70,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198306,junho 1983
1,Brasil,2,%,28.80,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198307,julho 1983
1,Brasil,2,%,31.97,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198308,agosto 1983
1,Brasil,2,%,32.48,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198309,setembro 1983
1,Brasil,2,%,31.02,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198310,outubro 1983
1,Brasil,2,%,28.95,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198311,novembro 1983
1,Brasil,2,%,27.05,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198312,dezembro 1983
1,Brasil,2,%,27.99,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198401,janeiro 1984
1,Brasil,2,%,30.51,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198402,fevereiro 1984
1,Brasil,2,%,30.82,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198403,março 1984
1,Brasil,2,%,30.67,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198404,abril 1984
1,Brasil,2,%,30.13,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198405,maio 1984
1,Brasil,2,%,31.50,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198406,junho 1984
1,Brasil,2,%,31.72,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198407,julho 1984
1,Brasil,2,%,32.08,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198408,agosto 1984
1,Brasil,2,%,34.08,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198409,setembro 1984
1,Brasil,2,%,34.95,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198410,outubro 1984
1,Brasil,2,%,36.40,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198411,novembro 1984
1,Brasil,2,%,36.68,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198412,dezembro 1984
1,Brasil,2,%,38.32,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198501,janeiro 1985
1,Brasil,2,%,38.74,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198502,fevereiro 1985
1,Brasil,2,%,36.49,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198503,março 1985
1,Brasil,2,%,32.14,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198504,abril 1985
1,Brasil,2,%,27.77,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198505,maio 1985
1,Brasil,2,%,25.83,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198506,junho 1985
1,Brasil,2,%,28.30,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198507,julho 1985
1,Brasil,2,%,34.10,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198508,agosto 1985
1,Brasil,2,%,37.35,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198509,setembro 1985
1,Brasil,2,%,37.72,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198510,outubro 1985
1,Brasil,2,%,40.09,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198511,novembro 1985
1,Brasil,2,%,45.08,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198512,dezembro 1985
1,Brasil,2,%,50.00,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198601,janeiro 1986
1,Brasil,2,%,48.35,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198602,fevereiro 1986
1,Brasil,2,%,35.07,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198603,março 1986
1,Brasil,2,%,19.01,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198604,abril 1986
1,Brasil,2,%,7.06,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198605,maio 1986
1,Brasil,2,%,3.49,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198606,junho 1986
1,Brasil,2,%,4.45,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198607,julho 1986
1,Brasil,2,%,6.66,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198608,agosto 1986
1,Brasil,2,%,7.13,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198609,setembro 1986
1,Brasil,2,%,7.33,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198610,outubro 1986
1,Brasil,2,%,9.30,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198611,novembro 1986
1,Brasil,2,%,19.98,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198612,dezembro 1986
1,Brasil,2,%,33.29,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198701,janeiro 1987
1,Brasil,2,%,42.37,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198702,fevereiro 1987
1,Brasil,2,%,48.39,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198703,março 1987
1,Brasil,2,%,56.11,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198704,abril 1987
1,Brasil,2,%,68.33,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198705,maio 1987
1,Brasil,2,%,73.16,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198706,junho 1987
1,Brasil,2,%,58.78,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198707,julho 1987
1,Brasil,2,%,37.10,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198708,agosto 1987
1,Brasil,2,%,23.44,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198709,setembro 1987
1,Brasil,2,%,25.71,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198710,outubro 1987
1,Brasil,2,%,37.95,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198711,novembro 1987
1,Brasil,2,%,46.10,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198712,dezembro 1987
1,Brasil,2,%,56.18,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198801,janeiro 1988
1,Brasil,2,%,57.02,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198802,fevereiro 1988
1,Brasil,2,%,61.77,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198803,março 1988
1,Brasil,2,%,62.31,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198804,abril 1988
1,Brasil,2,%,64.72,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198805,maio 1988
1,Brasil,2,%,70.88,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198806,junho 1988
1,Brasil,2,%,74.64,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198807,julho 1988
1,Brasil,2,%,80.84,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198808,agosto 1988
1,Brasil,2,%,88.92,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198809,setembro 1988
1,Brasil,2,%,94.67,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198810,outubro 1988
1,Brasil,2,%,104.84,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198811,novembro 1988
1,Brasil,2,%,106.84,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198812,dezembro 1988
1,Brasil,2,%,126.39,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198901,janeiro 1989
1,Brasil,2,%,106.64,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198902,fevereiro 1989
1,Brasil,2,%,71.51,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198903,março 1989
1,Brasil,2,%,35.14,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198904,abril 1989
1,Brasil,2,%,36.45,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198905,maio 1989
1,Brasil,2,%,64.34,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198906,junho 1989
1,Brasil,2,%,93.79,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,198907,julho 1989
