NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,,,...,1,Brasil,69,IPCA - Variação acumulada no ano,197912,dezembro 1979
1,Brasil,2,%,6.62,1,Brasil,69,IPCA - Variação acumulada no ano,198001,janeiro 1980
1,Brasil,2,%,11.54,1,Brasil,69,IPCA - Variação acumulada no ano,198002,fevereiro 1980
1,Brasil,2,%,18.27,1,Brasil,69,IPCA - Variação acumulada no ano,198003,março 1980
1,Brasil,2,%,24.53,1,Brasil,69,IPCA - Variação acumulada no ano,198004,abril 1980
1,Brasil,2,%,31.63,1,Brasil,69,IPCA - Variação acumulada no ano,198005,maio 1980
1,Brasil,2,%,38.61,1,Brasil,69,IPCA - Variação acumulada no ano,198006,junho 1980
1,Brasil,2,%,46.30,1,Brasil,69,IPCA - Variação acumulada no ano,198007,julho 1980
1,Brasil,2,%,53.53,1,Brasil,69,IPCA - Variação acumulada no ano,198008,agosto 1980
1,Brasil,2,%,60.03,1,Brasil,69,IPCA - Variação acumulada no ano,198009,setembro 1980
1,Brasil,2,%,75.20,1,Brasil,69,IPCA - Variação acumulada no ano,198010,outubro 1980
1,Brasil,2,%,86.89,1,Brasil,69,IPCA - Variação acumulada no ano,198011,novembro 1980
1,Brasil,2,%,99.25,1,Brasil,69,IPCA - Variação acumulada no ano,198012,dezembro 1980
1,Brasil,2,%,6.84,1,Brasil,69,IPCA - Variação acumulada no ano,198101,janeiro 1981
1,Brasil,2,%,13.68,1,Brasil,69,IPCA - Variação acumulada no ano,198102,fevereiro 1981
1,Brasil,2,%,19.33,1,Brasil,69,IPCA - Variação acumulada no ano,198103,março 1981
1,Brasil,2,%,27.04,1,Brasil,69,IPCA - Variação acumulada no ano,198104,abril 1981
1,Brasil,2,%,34.10,1,Brasil,69,IPCA - Variação acumulada no ano,198105,maio 1981
1,Brasil,2,%,41.50,1,Brasil,69,IPCA - Variação acumulada no ano,198106,junho 1981
1,Brasil,2,%,50.35,1,Brasil,69,IPCA - Variação acumulada no ano,198107,julho 1981
1,Brasil,2,%,58.62,1,Brasil,69,IPCA - Variação acumulada no ano,198108,agosto 1981
1,Brasil,2,%,66.95,1,Brasil,69,IPCA - Variação acumulada no ano,198109,setembro 1981
1,Brasil,2,%,75.43,1,Brasil,69,IPCA - Variação acumulada no ano,198110,outubro 1981
1,Brasil,2,%,84.68,1,Brasil,69,IPCA - Variação acumulada no ano,198111,novembro 1981
1,Brasil,2,%,95.62,1,Brasil,69,IPCA - Variação acumulada no ano,198112,dezembro 1981
1,Brasil,2,%,6.97,1,Brasil,69,IPCA - Variação acumulada no ano,198201,janeiro 1982
1,Brasil,2,%,14.06,1,Brasil,69,IPCA - Variação acumulada no ano,198202,fevereiro 1982
1,Brasil,2,%,20.58,1,Brasil,69,IPCA - Variação acumulada no ano,198203,março 1982
1,Brasil,2,%,27.68,1,Brasil,69,IPCA - Variação acumulada no ano,198204,abril 1982
1,Brasil,2,%,36.18,1,Brasil,69,IPCA - Variação acumulada no ano,198205,maio 1982
1,Brasil,2,%,45.86,1,Brasil,69,IPCA - Variação acumulada no ano,198206,junho 1982
1,Brasil,2,%,55.13,1,Brasil,69,IPCA - Variação acumulada no ano,198207,julho 1982
1,Brasil,2,%,64.39,1,Brasil,69,IPCA - Variação acumulada no ano,198208,agosto 1982
1,Brasil,2,%,72.75,1,Brasil,69,IPCA - Variação acumulada no ano,198209,setembro 1982
1,Brasil,2,%,80.42,1,Brasil,69,IPCA - Variação acumulada no ano,198210,outubro 1982
1,Brasil,2,%,89.96,1,Brasil,69,IPCA - Variação acumulada no ano,198211,novembro 1982
1,Brasil,2,%,104.79,1,Brasil,69,IPCA - Variação acumulada no ano,198212,dezembro 1982
1,Brasil,2,%,8.64,1,Brasil,69,IPCA - Variação acumulada no ano,198301,janeiro 1983
1,Brasil,2,%,17.18,1,Brasil,69,IPCA - Variação acumulada no ano,198302,fevereiro 1983
1,Brasil,2,%,25.78,1,Brasil,69,IPCA - Variação acumulada no ano,198303,março 1983
1,Brasil,2,%,34.06,1,Brasil,69,IPCA - Variação acumulada no ano,198304,abril 1983
1,Brasil,2,%,42.75,1,Brasil,69,IPCA - Variação acumulada no ano,198305,maio 1983
1,Brasil,2,%,56.86,1,Brasil,69,IPCA - Variação acumulada no ano,198306,junho 1983
1,Brasil,2,%,72.66,1,Brasil,69,IPCA - Variação acumulada no ano,198307,julho 1983
1,Brasil,2,%,88.40,1,Brasil,69,IPCA - Variação acumulada no ano,198308,agosto 1983
1,Brasil,2,%,107.80,1,Brasil,69,IPCA - Variação acumulada no ano,198309,setembro 1983
1,Brasil,2,%,126.23,1,Brasil,69,IPCA - Variação acumulada no ano,198310,outubro 1983
1,Brasil,2,%,142.93,1,Brasil,69,IPCA - Variação acumulada no ano,198311,novembro 1983
1,Brasil,2,%,164.01,1,Brasil,69,IPCA - Variação acumulada no ano,198312,dezembro 1983
1,Brasil,2,%,9.67,1,Brasil,69,IPCA - Variação acumulada no ano,198401,janeiro 1984
1,Brasil,2,%,20.09,1,Brasil,69,IPCA - Variação acumulada no ano,198402,fevereiro 1984
1,Brasil,2,%,30.82,1,Brasil,69,IPCA - Variação acumulada no ano,198403,março 1984
1,Brasil,2,%,43.31,1,Brasil,69,IPCA - Variação acumulada no ano,198404,abril 1984
1,Brasil,2,%,56.28,1,Brasil,69,IPCA - Variação acumulada no ano,198405,maio 1984
1,Brasil,2,%,72.03,1,Brasil,69,IPCA - Variação acumulada no ano,198406,junho 1984
1,Brasil,2,%,88.76,1,Brasil,69,IPCA - Variação acumulada no ano,198407,julho 1984
1,Brasil,2,%,106.41,1,Brasil,69,IPCA - Variação acumulada no ano,198408,agosto 1984
1,Brasil,2,%,130.65,1,Brasil,69,IPCA - Variação acumulada no ano,198409,setembro 1984
1,Brasil,2,%,154.73,1,Brasil,69,IPCA - Variação acumulada no ano,198410,outubro 1984
1,Brasil,2,%,181.54,1,Brasil,69,IPCA - Variação acumulada no ano,198411,novembro 1984
1,Brasil,2,%,215.26,1,Brasil,69,IPCA - Variação acumulada no ano,198412,dezembro 1984
1,Brasil,2,%,11.76,1,Brasil,69,IPCA - Variação acumulada no ano,198501,janeiro 1985
1,Brasil,2,%,23.90,1,Brasil,69,IPCA - Variação acumulada no ano,198502,fevereiro 1985
1,Brasil,2,%,36.49,1,Brasil,69,IPCA - Variação acumulada no ano,198503,março 1985
1,Brasil,2,%,47.68,1,Brasil,69,IPCA - Variação acumulada no ano,198504,abril 1985
1,Brasil,2,%,58.31,1,Brasil,69,IPCA - Variação acumulada no ano,198505,maio 1985
1,Brasil,2,%,71.75,1,Brasil,69,IPCA - Variação acumulada no ano,198506,junho 1985
1,Brasil,2,%,89.47,1,Brasil,69,IPCA - Variação acumulada no ano,198507,julho 1985
1,Brasil,2,%,112.30,1,Brasil,69,IPCA - Variação acumulada no ano,198508,agosto 1985
1,Brasil,2,%,135.90,1,Brasil,69,IPCA - Variação acumulada no ano,198509,setembro 1985
1,Brasil,2,%,160.94,1,Brasil,69,IPCA - Variação acumulada no ano,198510,outubro 1985
1,Brasil,2,%,197.40,1,Brasil,69,IPCA - Variação acumulada no ano,198511,novembro 1985
1,Brasil,2,%,242.23,1,Brasil,69,IPCA - Variação acumulada no ano,198512,dezembro 1985
1,Brasil,2,%,14.37,1,Brasil,69,IPCA - Variação acumulada no ano,198601,janeiro 1986
1,Brasil,2,%,28.92,1,Brasil,69,IPCA - Variação acumulada no ano,198602,fevereiro 1986
1,Brasil,2,%,35.07,1,Brasil,69,IPCA - Variação acumulada no ano,198603,março 1986
1,Brasil,2,%,36.12,1,Brasil,69,IPCA - Variação acumulada no ano,198604,abril 1986
1,Brasil,2,%,38.02,1,Brasil,69,IPCA - Variação acumulada no ano,198605,maio 1986
1,Brasil,2,%,39.78,1,Brasil,69,IPCA - Variação acumulada no ano,198606,junho 1986
1,Brasil,2,%,42.17,1,Brasil,69,IPCA - Variação acumulada no ano,198607,julho 1986
1,Brasil,2,%,47.22,1,Brasil,69,IPCA - Variação acumulada no ano,198608,agosto 1986
1,Brasil,2,%,49.75,1,Brasil,69,IPCA - Variação acumulada no ano,198609,setembro 1986
1,Brasil,2,%,52.60,1,Brasil,69,IPCA - Variação acumulada no ano,198610,outubro 1986
1,Brasil,2,%,60.92,1,Brasil,69,IPCA - Variação acumulada no ano,198611,novembro 1986
1,Brasil,2,%,79.66,1,Brasil,69,IPCA - Variação acumulada no ano,198612,dezembro 1986
1,Brasil,2,%,13.21,1,Brasil,69,IPCA - Variação acumulada no ano,198701,janeiro 1987
1,Brasil,2,%,27.51,1,Brasil,69,IPCA - Variação acumulada no ano,198702,fevereiro 1987
1,Brasil,2,%,48.39,1,Brasil,69,IPCA - Variação acumulada no ano,198703,março 1987
1,Brasil,2,%,76.73,1,Brasil,69,IPCA - Variação acumulada no ano,198704,abril 1987
1,Brasil,2,%,114.64,1,Brasil,69,IPCA - Variação acumulada no ano,198705,maio 1987
1,Brasil,2,%,156.95,1,Brasil,69,IPCA - Variação acumulada no ano,198706,junho 1987
1,Brasil,2,%,180.62,1,Brasil,69,IPCA - Variação acumulada no ano,198707,julho 1987
1,Brasil,2,%,194.29,1,Brasil,69,IPCA - Variação acumulada no ano,198708,agosto 1987
1,Brasil,2,%,217.19,1,Brasil,69,IPCA - Variação acumulada no ano,198709,setembro 1987
1,Brasil,2,%,252.77,1,Brasil,69,IPCA - Variação acumulada no ano,198710,outubro 1987
1,Brasil,2,%,305.97,1,Brasil,69,IPCA - Variação acumulada no ano,198711,novembro 1987
1,Brasil,2,%,363.41,1,Brasil,69,IPCA - Variação acumulada no ano,198712,dezembro 1987
1,Brasil,2,%,18.89,1,Brasil,69,IPCA - Variação acumulada no ano,198801,janeiro 1988
1,Brasil,2,%,37.55,1,Brasil,69,IPCA - Variação acumulada no ano,198802,fevereiro 1988
1,Brasil,2,%,61.77,1,Brasil,69,IPCA - Variação acumulada no ano,198803,março 1988
1,Brasil,2,%,92.97,1,Brasil,69,IPCA - Variação acumulada no ano,198804,abril 1988
1,Brasil,2,%,126.58,1,Brasil,69,IPCA - Variação acumulada no ano,198805,maio 1988
