NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,,,...,1,Brasil,63,IPCA - Variação mensal,197912,dezembro 1979
1,Brasil,2,%,6.62,1,Brasil,63,IPCA - Variação mensal,198001,janeiro 1980
1,Brasil,2,%,4.62,1,Brasil,63,IPCA - Variação mensal,198002,fevereiro 1980
1,Brasil,2,%,6.04,1,Brasil,63,IPCA - Variação mensal,198003,março 1980
1,Brasil,2,%,5.29,1,Brasil,63,IPCA - Variação mensal,198004,abril 1980
1,Brasil,2,%,5.70,1,Brasil,63,IPCA - Variação mensal,198005,maio 1980
1,Brasil,2,%,5.31,1,Brasil,63,IPCA - Variação mensal,198006,junho 1980
1,Brasil,2,%,5.55,1,Brasil,63,IPCA - Variação mensal,198007,julho 1980
1,Brasil,2,%,4.95,1,Brasil,63,IPCA - Variação mensal,198008,agosto 1980
1,Brasil,2,%,4.23,1,Brasil,63,IPCA - Variação mensal,198009,setembro 1980
1,Brasil,2,%,9.48,1,Brasil,63,IPCA - Variação mensal,198010,outubro 1980
1,Brasil,2,%,6.67,1,Brasil,63,IPCA - Variação mensal,198011,novembro 1980
1,Brasil,2,%,6.61,1,Brasil,63,IPCA - Variação mensal,198012,dezembro 1980
1,Brasil,2,%,6.84,1,Brasil,63,IPCA - Variação mensal,198101,janeiro 1981
1,Brasil,2,%,6.40,1,Brasil,63,IPCA - Variação mensal,198102,fevereiro 1981
1,Brasil,2,%,4.97,1,Brasil,63,IPCA - Variação mensal,198103,março 1981
1,Brasil,2,%,6.46,1,Brasil,63,IPCA - Variação mensal,198104,abril 1981
1,Brasil,2,%,5.56,1,Brasil,63,IPCA - Variação mensal,198105,maio 1981
1,Brasil,2,%,5.52,1,Brasil,63,IPCA - Variação mensal,198106,junho 1981
1,Brasil,2,%,6.26,1,Brasil,63,IPCA - Variação mensal,198107,julho 1981
1,Brasil,2,%,5.50,1,Brasil,63,IPCA - Variação mensal,198108,agosto 1981
1,Brasil,2,%,5.26,1,Brasil,63,IPCA - Variação mensal,198109,setembro 1981
1,Brasil,2,%,5.08,1,Brasil,63,IPCA - Variação mensal,198110,outubro 1981
1,Brasil,2,%,5.27,1,Brasil,63,IPCA - Variação mensal,198111,novembro 1981
1,Brasil,2,%,5.93,1,Brasil,63,IPCA - Variação mensal,198112,dezembro 1981
1,Brasil,2,%,6.97,1,Brasil,63,IPCA - Variação mensal,198201,janeiro 1982
1,Brasil,2,%,6.64,1,Brasil,63,IPCA - Variação mensal,198202,fevereiro 1982
1,Brasil,2,%,5.71,1,Brasil,63,IPCA - Variação mensal,198203,março 1982
1,Brasil,2,%,5.89,1,Brasil,63,IPCA - Variação mensal,198204,abril 1982
1,Brasil,2,%,6.66,1,Brasil,63,IPCA - Variação mensal,198205,maio 1982
1,Brasil,2,%,7.10,1,Brasil,63,IPCA - Variação mensal,198206,junho 1982
1,Brasil,2,%,6.36,1,Brasil,63,IPCA - Variação mensal,198207,julho 1982
1,Brasil,2,%,5.97,1,Brasil,63,IPCA - Variação mensal,198208,agosto 1982
1,Brasil,2,%,5.08,1,Brasil,63,IPCA - Variação mensal,198209,setembro 1982
1,Brasil,2,%,4.44,1,Brasil,63,IPCA - Variação mensal,198210,outubro 1982
1,Brasil,2,%,5.29,1,Brasil,63,IPCA - Variação mensal,198211,novembro 1982
1,Brasil,2,%,7.81,1,Brasil,63,IPCA - Variação mensal,198212,dezembro 1982
1,Brasil,2,%,8.64,1,Brasil,63,IPCA - Variação mensal,198301,janeiro 1983
1,Brasil,2,%,7.86,1,Brasil,63,IPCA - Variação mensal,198302,fevereiro 1983
1,Brasil,2,%,7.34,1,Brasil,63,IPCA - Variação mensal,198303,março 1983
1,Brasil,2,%,6.58,1,Brasil,63,IPCA - Variação mensal,198304,abril 1983
1,Brasil,2,%,6.48,1,Brasil,63,IPCA - Variação mensal,198305,maio 1983
1,Brasil,2,%,9.88,1,Brasil,63,IPCA - Variação mensal,198306,junho 1983
1,Brasil,2,%,10.08,1,Brasil,63,IPCA - Variação mensal,198307,julho 1983
1,Brasil,2,%,9.11,1,Brasil,63,IPCA - Variação mensal,198308,agosto 1983
1,Brasil,2,%,10.30,1,Brasil,63,IPCA - Variação mensal,198309,setembro 1983
1,Brasil,2,%,8.87,1,Brasil,63,IPCA - Variação mensal,198310,outubro 1983
1,Brasil,2,%,7.38,1,Brasil,63,IPCA - Variação mensal,198311,novembro 1983
1,Brasil,2,%,8.68,1,Brasil,63,IPCA - Variação mensal,198312,dezembro 1983
1,Brasil,2,%,9.67,1,Brasil,63,IPCA - Variação mensal,198401,janeiro 1984
1,Brasil,2,%,9.50,1,Brasil,63,IPCA - Variação mensal,198402,fevereiro 1984
1,Brasil,2,%,8.94,1,Brasil,63,IPCA - Variação mensal,198403,março 1984
1,Brasil,2,%,9.54,1,Brasil,63,IPCA - Variação mensal,198404,abril 1984
1,Brasil,2,%,9.05,1,Brasil,63,IPCA - Variação mensal,198405,maio 1984
1,Brasil,2,%,10.08,1,Brasil,63,IPCA - Variação mensal,198406,junho 1984
1,Brasil,2,%,9.72,1,Brasil,63,IPCA - Variação mensal,198407,julho 1984
1,Brasil,2,%,9.35,1,Brasil,63,IPCA - Variação mensal,198408,agosto 1984
1,Brasil,2,%,11.75,1,Brasil,63,IPCA - Variação mensal,198409,setembro 1984
1,Brasil,2,%,10.44,1,Brasil,63,IPCA - Variação mensal,198410,outubro 1984
1,Brasil,2,%,10.53,1,Brasil,63,IPCA - Variação mensal,198411,novembro 1984
1,Brasil,2,%,11.98,1,Brasil,63,IPCA - Variação mensal,198412,dezembro 1984
1,Brasil,2,%,11.76,1,Brasil,63,IPCA - Variação mensal,198501,janeiro 1985
1,Brasil,2,%,10.87,1,Brasil,63,IPCA - Variação mensal,198502,fevereiro 1985
1,Brasil,2,%,10.16,1,Brasil,63,IPCA - Variação mensal,198503,março 1985
1,Brasil,2,%,8.20,1,Brasil,63,IPCA - Variação mensal,198504,abril 1985
1,Brasil,2,%,7.20,1,Brasil,63,IPCA - Variação mensal,198505,maio 1985
1,Brasil,2,%,8.49,1,Brasil,63,IPCA - Variação mensal,198506,junho 1985
1,Brasil,2,%,10.31,1,Brasil,63,IPCA - Variação mensal,198507,julho 1985
1,Brasil,2,%,12.05,1,Brasil,63,IPCA - Variação mensal,198508,agosto 1985
1,Brasil,2,%,11.12,1,Brasil,63,IPCA - Variação mensal,198509,setembro 1985
1,Brasil,2,%,10.62,1,Brasil,63,IPCA - Variação mensal,198510,outubro 1985
1,Brasil,2,%,13.97,1,Brasil,63,IPCA - Variação mensal,198511,novembro 1985
